Generacion,Fitness_Medio,Fitness_Maximo,Mejor_Probabilidades
26,54.65,123,"0.0,0.14025648902797147,0.08970834310535217,0.017371216236320246,0.08152183717340805,0.12063230658802147,0.17244732206613195,0.14750210314427376,0.1442082368338933,0.08635214582462752"
27,55.35,137,"0.03801397403884336,0.12262298011070052,0.10522982232995703,0.015032636066462674,0.12946037899537746,0.125563006916628,0.15135443496553871,0.13963491720168042,0.1203354135716746,0.05275243580313727"
28,58.65,145,"0.0038627089714496207,0.13051513450372115,0.0834777524208952,0.014873170182578796,0.1298036673955639,0.12423103720801856,0.16047018993737358,0.13179368810188144,0.18987292176104592,0.031099729517471884"
29,56.25,169,"0.0,0.13258522025012665,0.1002209181916964,0.029108504889568315,0.10825151102732648,0.1140343740892011,0.1759434650903772,0.10929148516569843,0.2086251699116916,0.021939351384313816"
30,55.15,116,"0.0,0.10142076826937152,0.11753454997693008,0.015090315150553719,0.13169877199355018,0.14820601500470446,0.1593530269356688,0.16010732123534424,0.13440646736137385,0.03218276407250318"
31,56.4,164,"0.0,0.10652109905091758,0.08876886159189745,0.01682006903197515,0.1448536705059946,0.13251853827573665,0.18748936839997335,0.1681589295280229,0.1501406781422656,0.004728785473216715"
32,54.15,116,"0.0,0.0652135585443075,0.09045821835646792,0.017140171113832908,0.14761037509534916,0.13504049344168575,0.21536124947444035,0.17135915559859158,0.15299799956903926,0.004818778806285553"
33,55.3,126,"0.0,0.09423673034481263,0.09312187043837059,0.01619536916274271,0.12237002218457023,0.12759678002525904,0.2034900886008793,0.1445885653465552,0.19384741622043156,0.0045531576763788405"
34,59.05,143,"0.012444877971673938,0.11766078593405438,0.08670981959765482,0.0,0.11226319039988401,0.16930615361649992,0.134861911327933,0.20010673156538977,0.1615220220454475,0.0051245075414627006"
35,56.45,106,"0.012444877971673938,0.11766078593405438,0.08670981959765482,0.0,0.11226319039988401,0.16930615361649992,0.134861911327933,0.20010673156538977,0.1615220220454475,0.0051245075414627006"
36,54.55,118,"0.012374144968599702,0.11825198969850031,0.11617040026915869,0.0,0.09572117516796398,0.14435884041431937,0.13409539613909238,0.19896938412886156,0.174963287856204,0.0050953813573000875"
37,57.25,129,"0.0,0.14458638245639402,0.09581205496065368,0.0,0.1328535735642319,0.12807890058690213,0.14649292283833462,0.18698313354266727,0.1611998759803985,0.003993156070417797"
38,54.85,117,"0.0,0.09016614299182038,0.10499616429519919,0.024030521302617753,0.09982095993339098,0.1340778238893985,0.14003627371204513,0.19574099663989006,0.1755346555278273,0.03559646170781076"
39,55.6,111,"0.012201828940531335,0.11660527283622542,0.0812874853055494,0.0,0.12879660092213094,0.1429370592452253,0.13527077371529675,0.19619863802338947,0.181677915334862,0.005024425676789507"
40,54.8,130,"0.012240267428017844,0.11214741550233069,0.053556149495628244,0.0,0.12387266516831771,0.16796052761025862,0.13264459999244896,0.18869790056839328,0.17473230980963214,0.034148164424972566"
41,53.8,111,"0.012114686460198474,0.1109968212804278,0.08419169192378259,0.0,0.12260177388512612,0.14294990630382842,0.13128371165066846,0.17389476168179746,0.18816883090592465,0.033797815908245966"
42,57.3,175,"0.01240122244964972,0.113622112831804,0.08618298982721677,0.0,0.1255015452249844,0.12596021590871656,0.14669688741800813,0.1780077123357483,0.20617848283654666,0.005448831167325467"
43,57.95,181,"0.012466946817357267,0.14273587598992296,0.09834281484887934,0.0,0.1311532308846677,0.14625761800749273,0.12201245156431798,0.19219242592268135,0.14980797937936613,0.005030656585314562"
44,56.55,123,"0.012062330921888452,0.11051713091882163,0.1035775547269853,0.0,0.13242902572948553,0.14096046980133708,0.13713526900974388,0.19434350273556375,0.16367478665772114,0.005299929498453274"
45,57.75,135,"0.01238033819271843,0.11343076771182974,0.09726299833308896,0.0,0.13592034041183162,0.12682206746913743,0.14075065752086388,0.19946711004734183,0.16898889849757076,0.004976821815617249"
46,56.2,112,"0.019905250655502752,0.09034525332765764,0.06336774456044754,0.0,0.14205958160035412,0.13685903753959433,0.13533830766061725,0.21612368594908346,0.19600113870674288,0.0"
47,55.95,135,"0.0,0.15675546141756602,0.041993083475971846,0.0,0.15123695875383628,0.13588274672869843,0.09726614516290132,0.1920302908070806,0.21927641482730403,0.0055588988266415465"
48,56.55,132,"0.014812329920888212,0.08343496471039342,0.09831289085850999,0.0,0.14291971329746472,0.12296753079054247,0.1495498634133333,0.1814696244404648,0.201279894239971,0.0052531883284321216"
49,55.75,123,"0.0,0.08180643163257632,0.10195741910815616,0.0,0.15966913928975882,0.12752602394278179,0.13715488201019257,0.17792759278687523,0.20874148197518583,0.005217029254473193"
